flat 5%
     1.000000    0.000000
     0.989958    0.001518
     0.974237    0.003800
     0.957634    0.006084
     0.940045    0.008361
     0.921350    0.010624
     0.901413    0.012856
     0.880081    0.015038
     0.857191    0.017143
     0.832577    0.019133
     0.806099    0.020958
     0.777676    0.022554
     0.747357    0.023842
     0.715390    0.024738
     0.682316    0.025171
     0.649177    0.025213
     0.615977    0.025071
     0.582640    0.024951
     0.549489    0.024932
     0.516409    0.024972
     0.483285    0.025026
     0.450639    0.025058
     0.418052    0.025040
     0.384780    0.024949
     0.352963    0.024845
     0.322687    0.024850
     0.292228    0.025093
     0.265473    0.025467
     0.241391    0.025635
     0.215066    0.025387
     0.182237    0.024322
     0.158200    0.023088
     0.140322    0.021961
     0.125844    0.020923
     0.113569    0.019953
     0.102865    0.019036
     0.093358    0.018163
     0.084803    0.017324
     0.077033    0.016516
     0.069927    0.015733
     0.063395    0.014972
     0.057367    0.014231
     0.051789    0.013507
     0.046616    0.012798
     0.041814    0.012103
     0.037353    0.011420
     0.033209    0.010748
     0.029361    0.010086
     0.025794    0.009434
     0.022491    0.008790
     0.019442    0.008153
     0.016636    0.007523
     0.014064    0.006899
     0.011719    0.006281
     0.009597    0.005668
     0.007691    0.005059
     0.005999    0.004455
     0.004517    0.003853
     0.003245    0.003255
     0.002181    0.002660
     0.001325    0.002067
     0.000680    0.001475
     0.000246    0.000884
     0.000028    0.000295
     0.000028   -0.000295
     0.000246   -0.000884
     0.000680   -0.001475
     0.001325   -0.002067
     0.002181   -0.002660
     0.003245   -0.003255
     0.004517   -0.003853
     0.005999   -0.004455
     0.007691   -0.005059
     0.009597   -0.005668
     0.011719   -0.006281
     0.014064   -0.006899
     0.016636   -0.007523
     0.019442   -0.008153
     0.022491   -0.008790
     0.025794   -0.009434
     0.029361   -0.010086
     0.033209   -0.010748
     0.037353   -0.011420
     0.041814   -0.012103
     0.046616   -0.012798
     0.051789   -0.013507
     0.057367   -0.014231
     0.063395   -0.014972
     0.069927   -0.015733
     0.077033   -0.016516
     0.084803   -0.017324
     0.093358   -0.018163
     0.102865   -0.019036
     0.113569   -0.019953
     0.125844   -0.020923
     0.140322   -0.021961
     0.158200   -0.023088
     0.182237   -0.024322
     0.215066   -0.025387
     0.241391   -0.025635
     0.265473   -0.025467
     0.292228   -0.025093
     0.322687   -0.024850
     0.352963   -0.024845
     0.384780   -0.024949
     0.418052   -0.025040
     0.450639   -0.025058
     0.483285   -0.025026
     0.516409   -0.024972
     0.549489   -0.024932
     0.582640   -0.024951
     0.615977   -0.025071
     0.649177   -0.025213
     0.682316   -0.025171
     0.715390   -0.024738
     0.747357   -0.023842
     0.777676   -0.022554
     0.806099   -0.020958
     0.832577   -0.019133
     0.857191   -0.017143
     0.880081   -0.015038
     0.901413   -0.012856
     0.921351   -0.010624
     0.940045   -0.008362
     0.957634   -0.006084
     0.974237   -0.003800
     0.989958   -0.001518
     1.000000    0.000000
